PUR,INDIV,SING
5571.0,6868.0,4852.0
5598.0,7015.0,4848.0
5659.0,6908.0,4912.0
5571.0,6992.0,4804.0
5636.0,6930.0,4875.0
5545.0,6929.0,4819.0
5561.0,6926.0,4834.0
5692.0,7013.0,4941.0
5750.0,6888.0,4990.0
5719.0,6906.0,4950.0
5663.0,6901.0,4924.0
5650.0,6885.0,4893.0
5678.0,7048.0,4921.0
5563.0,7107.0,4827.0
5678.0,7046.0,4921.0
5679.0,7045.0,4896.0
5687.0,7009.0,4967.0
5687.0,6981.0,4951.0
5755.0,6920.0,4994.0
5731.0,6983.0,4970.0
5758.0,6985.0,5001.0
5704.0,6982.0,4941.0
5773.0,6971.0,5051.0
5845.0,6988.0,5118.0
5789.0,6971.0,5096.0
5819.0,7025.0,5125.0
5789.0,6941.0,5034.0
5876.0,7031.0,5110.0
5893.0,7078.0,5117.0
5808.0,7037.0,5055.0
5848.0,7056.0,5125.0
5892.0,6951.0,5145.0
5844.0,6991.0,5105.0
5992.0,7023.0,5209.0
6026.0,6973.0,5244.0
6119.0,7026.0,5296.0
5888.0,7022.0,5152.0
5890.0,6938.0,5150.0
6002.0,7039.0,5269.0
6016.0,7015.0,5241.0
6012.0,7103.0,5228.0
6020.0,6989.0,5245.0
5997.0,6944.0,5257.0
5963.0,7022.0,5211.0
5975.0,6932.0,5215.0
6040.0,6868.0,5302.0
5990.0,6910.0,5239.0
5872.0,6897.0,5120.0
6018.0,6890.0,5262.0
6029.0,6808.0,5269.0
5934.0,6892.0,5201.0
5828.0,6840.0,5115.0
5927.0,6728.0,5221.0
5816.0,6837.0,5111.0
5735.0,6727.0,4981.0
5775.0,6681.0,5023.0
5747.0,6581.0,4988.0
5695.0,6660.0,4949.0
5653.0,6459.0,4896.0
5447.0,6322.0,4705.0
5532.0,6329.0,4768.0
5446.0,6252.0,4728.0
5209.0,6158.0,4482.0
5007.0,6105.0,4329.0
4901.0,5876.0,4218.0
4696.0,5872.0,3962.0
4501.0,5809.0,3786.0
4227.0,5573.0,3491.0
3917.0,5384.0,3195.0
3673.0,5220.0,2988.0
3585.0,4944.0,2896.0
3385.0,4711.0,2679.0
3126.0,4402.0,2433.0
3020.0,4074.0,2340.0
2912.0,3797.0,2241.0
2832.0,3667.0,2164.0
2752.0,3471.0,2075.0
2626.0,3184.0,1943.0
2569.0,3077.0,1902.0
2508.0,2913.0,1875.0
2460.0,2827.0,1807.0
2460.0,2732.0,1801.0
2401.0,2592.0,1733.0
2358.0,2563.0,1713.0
2263.0,2523.0,1660.0
2213.0,2421.0,1609.0
2217.0,2397.0,1621.0
2217.0,2347.0,1605.0
2242.0,2292.0,1595.0
2171.0,2192.0,1587.0
2140.0,2176.0,1569.0
2108.0,2208.0,1548.0
2129.0,2167.0,1553.0
2082.0,2138.0,1512.0
2077.0,2127.0,1507.0
2044.0,2136.0,1485.0
1970.0,2078.0,1422.0
1928.0,2094.0,1383.0
1909.0,2057.0,1384.0
1966.0,2009.0,1439.0
1976.0,2008.0,1451.0
1874.0,1937.0,1354.0
1916.0,1903.0,1368.0
1853.0,1883.0,1324.0
1887.0,1959.0,1354.0
1816.0,1919.0,1323.0
1788.0,1851.0,1292.0
1821.0,1854.0,1312.0
1854.0,1787.0,1363.0
1821.0,1829.0,1320.0
1733.0,1760.0,1266.0
1814.0,1727.0,1328.0
1807.0,1757.0,1310.0
1729.0,1772.0,1250.0
1723.0,1753.0,1271.0
1683.0,1715.0,1233.0
1675.0,1773.0,1222.0
1689.0,1726.0,1236.0
1671.0,1665.0,1222.0
1684.0,1702.0,1227.0
1657.0,1625.0,1195.0
1671.0,1624.0,1231.0
1620.0,1581.0,1176.0
1646.0,1600.0,1212.0
1631.0,1620.0,1180.0
1649.0,1567.0,1193.0
1677.0,1612.0,1215.0
1591.0,1542.0,1156.0
1632.0,1605.0,1181.0
1602.0,1563.0,1159.0
1665.0,1587.0,1214.0
1585.0,1612.0,1146.0
1585.0,1533.0,1181.0
1608.0,1534.0,1151.0
1625.0,1511.0,1175.0
1572.0,1526.0,1124.0
1578.0,1464.0,1124.0
1667.0,1502.0,1181.0
1660.0,1443.0,1189.0
1608.0,1481.0,1157.0
1590.0,1451.0,1157.0
1575.0,1433.0,1129.0
1629.0,1479.0,1151.0
1585.0,1494.0,1126.0
1577.0,1442.0,1127.0
1642.0,1439.0,1178.0
1606.0,1406.0,1129.0
1598.0,1425.0,1139.0
1561.0,1381.0,1101.0
1621.0,1374.0,1156.0
1611.0,1447.0,1157.0
1534.0,1390.0,1075.0
1555.0,1373.0,1115.0
1597.0,1368.0,1136.0
1621.0,1410.0,1140.0
1609.0,1391.0,1130.0
1591.0,1323.0,1143.0
1665.0,1356.0,1165.0
1691.0,1378.0,1206.0
1598.0,1391.0,1150.0
1623.0,1363.0,1123.0
1664.0,1376.0,1151.0
1678.0,1373.0,1173.0
1693.0,1424.0,1184.0
1647.0,1375.0,1163.0
1703.0,1345.0,1216.0
1722.0,1368.0,1211.0
1672.0,1387.0,1158.0
1691.0,1384.0,1185.0
1699.0,1392.0,1174.0
1678.0,1451.0,1160.0
1744.0,1436.0,1189.0
1822.0,1379.0,1213.0
1801.0,1393.0,1201.0
1838.0,1381.0,1238.0
1814.0,1351.0,1248.0
1810.0,1388.0,1223.0
1788.0,1403.0,1220.0
1765.0,1389.0,1190.0
1858.0,1429.0,1268.0
1905.0,1438.0,1297.0
1857.0,1418.0,1237.0
1847.0,1413.0,1245.0
1895.0,1396.0,1276.0
1987.0,1456.0,1318.0
1996.0,1489.0,1314.0
1976.0,1430.0,1322.0
2038.0,1416.0,1364.0
2055.0,1452.0,1390.0
2012.0,1485.0,1320.0
2087.0,1474.0,1393.0
2132.0,1502.0,1406.0
2128.0,1538.0,1401.0
2152.0,1566.0,1412.0
2126.0,1500.0,1389.0
2203.0,1582.0,1415.0
2191.0,1592.0,1459.0
2266.0,1565.0,1469.0
2270.0,1580.0,1454.0
2372.0,1567.0,1498.0
2400.0,1573.0,1503.0
2464.0,1620.0,1524.0
2525.0,1623.0,1574.0
2502.0,1602.0,1560.0
2627.0,1673.0,1621.0
2677.0,1654.0,1673.0
2765.0,1681.0,1752.0
2846.0,1733.0,1788.0
2918.0,1714.0,1815.0
3041.0,1771.0,1892.0
3168.0,1838.0,1936.0
3212.0,1901.0,1954.0
3298.0,1943.0,1978.0
3300.0,1978.0,2015.0
3413.0,2042.0,2083.0
3601.0,2083.0,2212.0
3763.0,2111.0,2295.0
3936.0,2134.0,2391.0
4068.0,2163.0,2477.0
4252.0,2230.0,2537.0
4472.0,2368.0,2697.0
4562.0,2437.0,2741.0
4772.0,2521.0,2912.0
5006.0,2610.0,3015.0
